domain,kind,number,type,category,id,path
vegetable,natural,NA,basic,pepper,3,vegetable/basic-pepper/basic-pepper-3.jpg
vegetable,natural,1,contrast,red_pepper,NA,vegetable/basic-pepper/contrast-red_pepper/1contrast-red_pepper.jpg
vegetable,natural,3,contrast,red_pepper,NA,vegetable/basic-pepper/contrast-red_pepper/3contrast-red_pepper.jpg
vegetable,natural,NA,contrast,red_pepper,1,vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-1.jpg
vegetable,natural,NA,contrast,red_pepper,2,vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-2.jpg
vegetable,natural,1,sub,green_pepper,NA,vegetable/basic-pepper/sub-green_pepper/1sub-green_pepper.jpg
vegetable,natural,3,sub,green_pepper,NA,vegetable/basic-pepper/sub-green_pepper/3sub-green_pepper.jpg
vegetable,natural,NA,sub,green_pepper,1,vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-1.jpg
vegetable,natural,NA,sub,green_pepper,2,vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-2.jpg
vegetable,natural,NA,sup,vegetable,1,vegetable/sup-vegetable-1.jpg
vegetable,natural,NA,sup,vegetable,2,vegetable/sup-vegetable-2.jpg
vegetable,natural,NA,sup,vegetable,3,vegetable/sup-vegetable-3.jpg
vegetable,natural,NA,sup,vegetable,4,vegetable/sup-vegetable-4.jpg
vegetable,natural,NA,sup,vegetable,5,vegetable/sup-vegetable-5.jpg
vehicle,artificial,3,basic,car,NA,vehicle/basic-car/3basic-car.jpg
vehicle,artificial,NA,basic,car,1,vehicle/basic-car/basic-car-1.jpg
vehicle,artificial,NA,basic,car,2,vehicle/basic-car/basic-car-2.jpg
vehicle,artificial,NA,basic,car,3,vehicle/basic-car/basic-car-3.jpg
vehicle,artificial,1,contrast,van,NA,vehicle/basic-car/contrast-van/1contrast-van.jpg
vehicle,artificial,3,contrast,van,NA,vehicle/basic-car/contrast-van/3contrast-van.jpg
vehicle,artificial,NA,contrast,van,1,vehicle/basic-car/contrast-van/contrast-van-1.jpg
vehicle,artificial,NA,contrast,van,2,vehicle/basic-car/contrast-van/contrast-van-2.jpg
vehicle,artificial,1,sub,racecar,NA,vehicle/basic-car/sub-racecar/1sub-racecar.jpg
vehicle,artificial,3,sub,racecar,NA,vehicle/basic-car/sub-racecar/3sub-racecar.jpg
vehicle,artificial,NA,sub,racecar,1,vehicle/basic-car/sub-racecar/sub-racecar-1.jpg
vehicle,artificial,NA,sub,racecar,2,vehicle/basic-car/sub-racecar/sub-racecar-2.jpg
vehicle,artificial,NA,sup,vehicle,1,vehicle/sup-vehicle-1.jpg
vehicle,artificial,NA,sup,vehicle,2,vehicle/sup-vehicle-2.jpg
vehicle,artificial,NA,sup,vehicle,3,vehicle/sup-vehicle-3.jpg
vehicle,artificial,NA,sup,vehicle,4,vehicle/sup-vehicle-4.jpg
vehicle,artificial,NA,sup,vehicle,5,vehicle/sup-vehicle-5.jpg
