participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen
a384c99e731f88ae0213bf7ce69ffbf3,A,single,vegetable,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
a384c99e731f88ae0213bf7ce69ffbf3,A,contrast,vehicle,0,0,0,0.4,0,FALSE,FALSE,FALSE,FALSE
a9b43032ad704405350ab0760542d64f,C,single,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
a9b43032ad704405350ab0760542d64f,C,single,beast,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
a9b43032ad704405350ab0760542d64f,C,contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
a9b43032ad704405350ab0760542d64f,C,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
a9b43032ad704405350ab0760542d64f,C,single,furniture,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
a9b43032ad704405350ab0760542d64f,C,single,light,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
a9b43032ad704405350ab0760542d64f,C,contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
a9b43032ad704405350ab0760542d64f,C,contrast,vehicle,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE
d9fe89579bae59b225c0714469acdade,D,contrast,animal,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE
d9fe89579bae59b225c0714469acdade,D,contrast,beast,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE
d9fe89579bae59b225c0714469acdade,D,single,electronics,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
d9fe89579bae59b225c0714469acdade,D,single,fruit,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
d9fe89579bae59b225c0714469acdade,D,contrast,furniture,0.6666666666666666,0,1,0,0,FALSE,FALSE,FALSE,FALSE
d9fe89579bae59b225c0714469acdade,D,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
d9fe89579bae59b225c0714469acdade,D,single,vegetable,0.6,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
d9fe89579bae59b225c0714469acdade,D,single,vehicle,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
4364708ef153b55c228707f018ea3eea,A,single,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
4364708ef153b55c228707f018ea3eea,A,contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
4364708ef153b55c228707f018ea3eea,A,single,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
4364708ef153b55c228707f018ea3eea,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
