participant,group,condition,number,target,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,coding,fill
8a95dcdfb7bdb1e0e8b6a07360c78f63,B,three-first,three,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
8a95dcdfb7bdb1e0e8b6a07360c78f63,B,one-first,one,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
8a95dcdfb7bdb1e0e8b6a07360c78f63,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
9d0e038bb6edae3712ca1a33e54cddea,C,three-first,three,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
9d0e038bb6edae3712ca1a33e54cddea,C,one-second,one,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
9d0e038bb6edae3712ca1a33e54cddea,C,three-second,three,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
9d0e038bb6edae3712ca1a33e54cddea,C,one-first,one,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
9d0e038bb6edae3712ca1a33e54cddea,C,three-first,three,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
9d0e038bb6edae3712ca1a33e54cddea,C,one-second,one,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
9d0e038bb6edae3712ca1a33e54cddea,C,three-second,three,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
9d0e038bb6edae3712ca1a33e54cddea,C,one-first,one,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
fff2a888770b6cfd34e9d1b120abc2a1,A,one-first,one,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
fff2a888770b6cfd34e9d1b120abc2a1,A,three-second,three,second,beast,0.3333333333333333,0,1,0.2,0,broad subordinate,#CC4D06FF
fff2a888770b6cfd34e9d1b120abc2a1,A,one-second,one,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
fff2a888770b6cfd34e9d1b120abc2a1,A,three-first,three,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
fff2a888770b6cfd34e9d1b120abc2a1,A,one-first,one,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
fff2a888770b6cfd34e9d1b120abc2a1,A,three-second,three,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
fff2a888770b6cfd34e9d1b120abc2a1,A,one-second,one,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
fff2a888770b6cfd34e9d1b120abc2a1,A,three-first,three,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
6ee3cdb1e3a407fbb7602128cf778822,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
6ee3cdb1e3a407fbb7602128cf778822,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
6ee3cdb1e3a407fbb7602128cf778822,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
6ee3cdb1e3a407fbb7602128cf778822,B,three-second,three,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
6ee3cdb1e3a407fbb7602128cf778822,B,one-second,one,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
6ee3cdb1e3a407fbb7602128cf778822,B,three-first,three,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
6ee3cdb1e3a407fbb7602128cf778822,B,one-first,one,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
6ee3cdb1e3a407fbb7602128cf778822,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
9fd0267105c0aa1fe304e63a8c231ff2,D,three-second,three,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
9fd0267105c0aa1fe304e63a8c231ff2,D,one-first,one,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
