participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen,coding,fill
0eb0033fb8cfb99676422eda4fb283ce,C,No Contrast,beast,1,NA,1,0.2,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
0eb0033fb8cfb99676422eda4fb283ce,C,Contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
0eb0033fb8cfb99676422eda4fb283ce,C,Contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
0eb0033fb8cfb99676422eda4fb283ce,C,No Contrast,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
0eb0033fb8cfb99676422eda4fb283ce,C,No Contrast,light,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
0eb0033fb8cfb99676422eda4fb283ce,C,Contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
0eb0033fb8cfb99676422eda4fb283ce,C,Contrast,vehicle,0.6666666666666666,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
9e1529ca3a0de676ed4051ee0d6193c4,D,Contrast,animal,0,0,0.5,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
9e1529ca3a0de676ed4051ee0d6193c4,D,Contrast,beast,0,0,0.5,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
9e1529ca3a0de676ed4051ee0d6193c4,D,No Contrast,electronics,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
9e1529ca3a0de676ed4051ee0d6193c4,D,No Contrast,fruit,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
9e1529ca3a0de676ed4051ee0d6193c4,D,Contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
9e1529ca3a0de676ed4051ee0d6193c4,D,Contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
9e1529ca3a0de676ed4051ee0d6193c4,D,No Contrast,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
9e1529ca3a0de676ed4051ee0d6193c4,D,No Contrast,vehicle,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
a384c99e731f88ae0213bf7ce69ffbf3,A,No Contrast,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
a384c99e731f88ae0213bf7ce69ffbf3,A,Contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
